location,long,lat,type
Guardian,35.0188319998058,-15.8030697090217,sensor
Malnutrition,35.0216232761848,-15.8040094883693,sensor
Men’s,35.0206299998635,-15.803243309132,sensor
AIDS,35.0194428645493,-15.8035064520583,sensor
Malaria,35.022997619912,-15.8046997789824,sensor
Surgery/ICU,35.0231215281981,-15.8032039862504,sensor
Eyes,35.0234754134784,-15.8019246032566,sensor
Administration,35.021503632726,-15.8019295352165,sensor
Incinerator Fire,35.0199787023238,-15.8019295352165,fire
